epsilon,rep,race,n,Accuracy
1.0,14,Hispanic,410,0.6195121951219512
1.0,14,Other,295,0.6305084745762712
1.0,15,AfricanAmerican,3821,0.5948704527610573
1.0,15,Asian,115,0.6
1.0,15,Caucasian,14970,0.5951903807615231
1.0,15,Hispanic,410,0.6414634146341464
1.0,15,Other,295,0.6440677966101694
1.0,16,AfricanAmerican,3821,0.5995812614498822
1.0,16,Asian,115,0.5739130434782609
1.0,16,Caucasian,14970,0.585437541750167
1.0,16,Hispanic,410,0.6073170731707317
1.0,16,Other,295,0.6779661016949152
1.0,17,AfricanAmerican,3821,0.5878042397278199
1.0,17,Asian,115,0.6434782608695652
1.0,17,Caucasian,14970,0.5956579826319305
1.0,17,Hispanic,410,0.6365853658536585
1.0,17,Other,295,0.6271186440677966
1.0,18,AfricanAmerican,3821,0.5946087411672337
1.0,18,Asian,115,0.6173913043478261
1.0,18,Caucasian,14970,0.5950567802271209
1.0,18,Hispanic,410,0.6195121951219512
1.0,18,Other,295,0.6305084745762712
1.0,19,AfricanAmerican,3821,0.5995812614498822
1.0,19,Asian,115,0.6782608695652174
1.0,19,Caucasian,14970,0.5849699398797595
1.0,19,Hispanic,410,0.573170731707317
1.0,19,Other,295,0.6271186440677966
5.0,0,AfricanAmerican,3821,0.6176393614237111
5.0,0,Asian,115,0.6521739130434783
5.0,0,Caucasian,14970,0.6015364061456245
5.0,0,Hispanic,410,0.6682926829268293
5.0,0,Other,295,0.6372881355932203
5.0,1,AfricanAmerican,3821,0.5933001831981157
5.0,1,Asian,115,0.6260869565217392
5.0,1,Caucasian,14970,0.5993319973279894
5.0,1,Hispanic,410,0.6341463414634146
5.0,1,Other,295,0.6271186440677966
5.0,2,AfricanAmerican,3821,0.6061240512954724
5.0,2,Asian,115,0.6
5.0,2,Caucasian,14970,0.6010020040080161
5.0,2,Hispanic,410,0.6609756097560976
5.0,2,Other,295,0.6644067796610169
5.0,3,AfricanAmerican,3821,0.616330803454593
5.0,3,Asian,115,0.6347826086956522
5.0,3,Caucasian,14970,0.6059452237808951
5.0,3,Hispanic,410,0.6560975609756098
5.0,3,Other,295,0.6237288135593221
5.0,4,AfricanAmerican,3821,0.6189479193928291
5.0,4,Asian,115,0.5826086956521739
5.0,4,Caucasian,14970,0.6112892451569806
5.0,4,Hispanic,410,0.651219512195122
5.0,4,Other,295,0.6406779661016949
5.0,5,AfricanAmerican,3821,0.6131902643287097
5.0,5,Asian,115,0.6
5.0,5,Caucasian,14970,0.6059452237808951
5.0,5,Hispanic,410,0.6487804878048781
5.0,5,Other,295,0.6474576271186441
5.0,6,AfricanAmerican,3821,0.6011515310128238
5.0,6,Asian,115,0.6347826086956522
5.0,6,Caucasian,14970,0.5945223780895124
5.0,6,Hispanic,410,0.6268292682926829
5.0,6,Other,295,0.6406779661016949
5.0,7,AfricanAmerican,3821,0.6171159382360638
5.0,7,Asian,115,0.6086956521739131
5.0,7,Caucasian,14970,0.6076820307281229
5.0,7,Hispanic,410,0.651219512195122
5.0,7,Other,295,0.6338983050847458
5.0,8,AfricanAmerican,3821,0.6124051295472389
5.0,8,Asian,115,0.6173913043478261
5.0,8,Caucasian,14970,0.5968603874415498
5.0,8,Hispanic,410,0.651219512195122
5.0,8,Other,295,0.6338983050847458
5.0,9,AfricanAmerican,3821,0.6071708976707668
5.0,9,Asian,115,0.6086956521739131
5.0,9,Caucasian,14970,0.6054108216432865
5.0,9,Hispanic,410,0.651219512195122
5.0,9,Other,295,0.6406779661016949
5.0,10,AfricanAmerican,3821,0.615022245485475
5.0,10,Asian,115,0.591304347826087
5.0,10,Caucasian,14970,0.6044088176352705
5.0,10,Hispanic,410,0.6707317073170732
5.0,10,Other,295,0.6406779661016949
5.0,11,AfricanAmerican,3821,0.5799528919131117
5.0,11,Asian,115,0.591304347826087
5.0,11,Caucasian,14970,0.5799599198396793
5.0,11,Hispanic,410,0.6292682926829268
5.0,11,Other,295,0.6305084745762712
5.0,12,AfricanAmerican,3821,0.6131902643287097
5.0,12,Asian,115,0.6434782608695652
5.0,12,Caucasian,14970,0.6100868403473614
5.0,12,Hispanic,410,0.6609756097560976
5.0,12,Other,295,0.6406779661016949
5.0,13,AfricanAmerican,3821,0.5964407223239989
5.0,13,Asian,115,0.6
5.0,13,Caucasian,14970,0.5937207748830995
5.0,13,Hispanic,410,0.6292682926829268
5.0,13,Other,295,0.6135593220338983
5.0,14,AfricanAmerican,3821,0.609002878827532
5.0,14,Asian,115,0.6521739130434783
5.0,14,Caucasian,14970,0.5941215764863059
5.0,14,Hispanic,410,0.6487804878048781
5.0,14,Other,295,0.6372881355932203
5.0,15,AfricanAmerican,3821,0.615022245485475
5.0,15,Asian,115,0.6173913043478261
5.0,15,Caucasian,14970,0.6104208416833667
5.0,15,Hispanic,410,0.6682926829268293
5.0,15,Other,295,0.6406779661016949
5.0,16,AfricanAmerican,3821,0.6142371107040042
5.0,16,Asian,115,0.6086956521739131
5.0,16,Caucasian,14970,0.6050100200400802
5.0,16,Hispanic,410,0.6560975609756098
5.0,16,Other,295,0.6644067796610169
5.0,17,AfricanAmerican,3821,0.606385762889296
5.0,17,Asian,115,0.6260869565217392
5.0,17,Caucasian,14970,0.5875751503006013
5.0,17,Hispanic,410,0.6390243902439025
5.0,17,Other,295,0.6406779661016949
5.0,18,AfricanAmerican,3821,0.6158073802669458
5.0,18,Asian,115,0.6086956521739131
5.0,18,Caucasian,14970,0.5996659986639946
5.0,18,Hispanic,410,0.6536585365853659
5.0,18,Other,295,0.6508474576271186
5.0,19,AfricanAmerican,3821,0.6074326092645904
5.0,19,Asian,115,0.6173913043478261
5.0,19,Caucasian,14970,0.6090848363393454
5.0,19,Hispanic,410,0.6585365853658537
5.0,19,Other,295,0.6542372881355932
10.0,0,AfricanAmerican,3821,0.6197330541742999
10.0,0,Asian,115,0.6086956521739131
10.0,0,Caucasian,14970,0.6150968603874416
10.0,0,Hispanic,410,0.6634146341463415
10.0,0,Other,295,0.6474576271186441
10.0,1,AfricanAmerican,3821,0.6158073802669458
10.0,1,Asian,115,0.6173913043478261
10.0,1,Caucasian,14970,0.6164328657314629
10.0,1,Hispanic,410,0.6658536585365854
10.0,1,Other,295,0.6576271186440678
10.0,2,AfricanAmerican,3821,0.6192096309866527
10.0,2,Asian,115,0.6086956521739131
10.0,2,Caucasian,14970,0.6152304609218436
10.0,2,Hispanic,410,0.6609756097560976
10.0,2,Other,295,0.6406779661016949
10.0,3,AfricanAmerican,3821,0.6197330541742999
10.0,3,Asian,115,0.591304347826087
10.0,3,Caucasian,14970,0.6174348697394789
10.0,3,Hispanic,410,0.6658536585365854
10.0,3,Other,295,0.6406779661016949
10.0,4,AfricanAmerican,3821,0.6171159382360638
10.0,4,Asian,115,0.591304347826087
10.0,4,Caucasian,14970,0.6150968603874416
10.0,4,Hispanic,410,0.651219512195122
10.0,4,Other,295,0.6440677966101694
10.0,5,AfricanAmerican,3821,0.6218267469248888
10.0,5,Asian,115,0.6086956521739131
10.0,5,Caucasian,14970,0.6158984635938544
10.0,5,Hispanic,410,0.6560975609756098
10.0,5,Other,295,0.6474576271186441
10.0,6,AfricanAmerican,3821,0.6194713425804763
10.0,6,Asian,115,0.6086956521739131
10.0,6,Caucasian,14970,0.6177688710754843
10.0,6,Hispanic,410,0.6585365853658537
10.0,6,Other,295,0.6644067796610169
