modelo,epsilon,rep,seed,Accuracy,F1-Score
Regresión Logística,10.0,3,314,0.46846157768599256,0.3256781984862251
Naive Bayes (Gaussian),10.0,3,314,0.5905359237162817,0.5626489951656066
Regresión Logística,10.0,4,1729,0.5101728621691908,0.5102386090448704
Naive Bayes (Gaussian),10.0,4,1729,0.5864565804905411,0.5830273707822201
Regresión Logística,10.0,5,2718,0.5175666717658457,0.472922389995163
Naive Bayes (Gaussian),10.0,5,2718,0.5948192341033094,0.5897367973470736
Regresión Logística,10.0,6,3141,0.5146601397175055,0.5053567275031018
Naive Bayes (Gaussian),10.0,6,3141,0.5858446790066799,0.5851004655509094
Regresión Logística,10.0,7,6022,0.5005864055887003,0.5004878443682729
Naive Bayes (Gaussian),10.0,7,6022,0.5915557595227169,0.5787215840621265
Regresión Logística,10.0,8,8128,0.5158329508949059,0.5158279122800481
Naive Bayes (Gaussian),10.0,8,8128,0.5770230992810158,0.5769443480214612
Regresión Logística,10.0,9,9999,0.4687165366376013,0.37841277819732533
Naive Bayes (Gaussian),10.0,9,9999,0.5868645148131151,0.581682297018121
Regresión Logística,10.0,10,10007,0.5149150986691142,0.4967372504605802
Naive Bayes (Gaussian),10.0,10,10007,0.5597368823619397,0.5549224704160264
Regresión Logística,10.0,11,11113,0.4733567895568813,0.40539962588257333
Naive Bayes (Gaussian),10.0,11,11113,0.5879863342001937,0.5861625901618518
Regresión Logística,10.0,12,13121,0.46652388965376573,0.29788174860862
Naive Bayes (Gaussian),10.0,12,13121,0.5837540156034878,0.5842152178365134
Regresión Logística,10.0,13,17171,0.5263882514915099,0.5150472590577622
Naive Bayes (Gaussian),10.0,13,17171,0.5753913619907195,0.5554524009705766
Regresión Logística,10.0,14,19273,0.5199122941206465,0.47123570791405023
Naive Bayes (Gaussian),10.0,14,19273,0.5897200550711336,0.5863262004109974
Regresión Logística,10.0,15,23131,0.5178726225077762,0.5022193387418022
Naive Bayes (Gaussian),10.0,15,23131,0.5705981337004742,0.5704218863087948
Regresión Logística,10.0,16,29327,0.4640252919279996,0.32974508784741335
Naive Bayes (Gaussian),10.0,16,29327,0.5579011779103564,0.551535064055834
Regresión Logística,10.0,17,31193,0.47361174850849014,0.45448585298652244
Naive Bayes (Gaussian),10.0,17,31193,0.5781449186680945,0.5784977730333216
Regresión Logística,10.0,18,33391,0.464994135944113,0.32912398904034385
Naive Bayes (Gaussian),10.0,18,33391,0.5889041864259854,0.5796363505520211
Regresión Logística,10.0,19,37397,0.5339350364591301,0.3721463359464498
Naive Bayes (Gaussian),10.0,19,37397,0.5828361633776962,0.5825751560980038
