epsilon,rep,race,n,Accuracy
5.0,19,AfricanAmerican,3821,0.5270871499607432
5.0,19,Asian,115,0.5565217391304348
5.0,19,Caucasian,14970,0.5250501002004008
5.0,19,Hispanic,410,0.5439024390243903
5.0,19,Other,295,0.5627118644067797
10.0,0,AfricanAmerican,3821,0.533891651400157
10.0,0,Asian,115,0.6
10.0,0,Caucasian,14970,0.5341349365397462
10.0,0,Hispanic,410,0.5853658536585366
10.0,0,Other,295,0.5898305084745763
10.0,1,AfricanAmerican,3821,0.5315362470557445
10.0,1,Asian,115,0.6434782608695652
10.0,1,Caucasian,14970,0.5257849031396126
10.0,1,Hispanic,410,0.5560975609756098
10.0,1,Other,295,0.6067796610169491
10.0,2,AfricanAmerican,3821,0.5283957079298613
10.0,2,Asian,115,0.5826086956521739
10.0,2,Caucasian,14970,0.5366733466933867
10.0,2,Hispanic,410,0.5560975609756098
10.0,2,Other,295,0.576271186440678
10.0,3,AfricanAmerican,3821,0.4972520282648521
10.0,3,Asian,115,0.4434782608695652
10.0,3,Caucasian,14970,0.4975283901135605
10.0,3,Hispanic,410,0.4878048780487805
10.0,3,Other,295,0.4135593220338983
10.0,4,AfricanAmerican,3821,0.5200209369275058
10.0,4,Asian,115,0.591304347826087
10.0,4,Caucasian,14970,0.5162992651970608
10.0,4,Hispanic,410,0.5073170731707317
10.0,4,Other,295,0.5830508474576271
10.0,5,AfricanAmerican,3821,0.5328448050248626
10.0,5,Asian,115,0.6347826086956522
10.0,5,Caucasian,14970,0.5337341349365398
10.0,5,Hispanic,410,0.5585365853658537
10.0,5,Other,295,0.5728813559322034
10.0,6,AfricanAmerican,3821,0.5200209369275058
10.0,6,Asian,115,0.5652173913043478
10.0,6,Caucasian,14970,0.5331997327989312
10.0,6,Hispanic,410,0.5341463414634147
10.0,6,Other,295,0.5084745762711864
10.0,7,AfricanAmerican,3821,0.4873069876995551
10.0,7,Asian,115,0.4956521739130435
10.0,7,Caucasian,14970,0.5028056112224449
10.0,7,Hispanic,410,0.4707317073170731
10.0,7,Other,295,0.4338983050847457
10.0,8,AfricanAmerican,3821,0.5354619209630986
10.0,8,Asian,115,0.6869565217391305
10.0,8,Caucasian,14970,0.5293921175684703
10.0,8,Hispanic,410,0.5780487804878048
10.0,8,Other,295,0.5898305084745763
10.0,9,AfricanAmerican,3821,0.5113844543313268
10.0,9,Asian,115,0.6347826086956522
10.0,9,Caucasian,14970,0.5306613226452905
10.0,9,Hispanic,410,0.5048780487804878
10.0,9,Other,295,0.5016949152542373
10.0,10,AfricanAmerican,3821,0.5317979586495681
10.0,10,Asian,115,0.5217391304347826
10.0,10,Caucasian,14970,0.5355377421509686
10.0,10,Hispanic,410,0.5609756097560976
10.0,10,Other,295,0.447457627118644
10.0,11,AfricanAmerican,3821,0.5082439152054437
10.0,11,Asian,115,0.5391304347826087
10.0,11,Caucasian,14970,0.504943219772879
10.0,11,Hispanic,410,0.5219512195121951
10.0,11,Other,295,0.4779661016949152
