escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
DP ε=10.0,Regresión Logística,2718,0.6175,0.5628,0.0184,0.5073,0.67,0.6516
DP ε=10.0,Regresión Logística,3141,0.6175,0.5507,-0.025,0.4914,0.677,0.702
DP ε=10.0,Regresión Logística,6022,0.6175,0.5619,0.008,0.505,0.6776,0.6696
DP ε=10.0,Regresión Logística,8128,0.6175,0.5581,0.0004,0.4978,0.674,0.6736
DP ε=10.0,Regresión Logística,9999,0.6175,0.5657,0.0166,0.5013,0.6806,0.664
DP ε=10.0,Regresión Logística,10007,0.6175,0.546,-0.0194,0.4901,0.6574,0.6768
DP ε=10.0,Regresión Logística,11113,0.6175,0.5508,-0.02,0.4842,0.6724,0.6924
DP ε=10.0,Regresión Logística,13121,0.6175,0.5535,0.0028,0.5073,0.6576,0.6548
DP ε=10.0,Regresión Logística,17171,0.6175,0.5552,-0.0122,0.4961,0.6778,0.69
DP ε=10.0,Regresión Logística,19273,0.6175,0.5555,-0.0026,0.5008,0.669,0.6716
DP ε=10.0,Regresión Logística,23131,0.6175,0.5639,0.012,0.5031,0.6796,0.6676
DP ε=10.0,Regresión Logística,29327,0.6175,0.5491,-0.0144,0.4977,0.6616,0.676
DP ε=10.0,Regresión Logística,31193,0.6175,0.5604,0.0068,0.5018,0.6744,0.6676
DP ε=10.0,Regresión Logística,33391,0.6175,0.5535,-0.0104,0.4928,0.6708,0.6812
DP ε=10.0,Regresión Logística,37397,0.6175,0.5561,0.0058,0.5008,0.6626,0.6568
k=5 + l=5,Regresión Logística,42,0.6217,0.5521,-0.0076,0.4929,0.664,0.6716
k=5 + l=5,Regresión Logística,137,0.6217,0.5465,-0.0088,0.4942,0.6484,0.6572
k=5 + l=5,Regresión Logística,271,0.6217,0.5496,-0.004,0.4919,0.6528,0.6568
k=5 + l=5,Regresión Logística,314,0.6217,0.5528,-0.007,0.499,0.6654,0.6724
k=5 + l=5,Regresión Logística,1729,0.6217,0.5512,-0.0046,0.5039,0.6582,0.6628
k=5 + l=5,Regresión Logística,2718,0.6217,0.5584,0.0092,0.5054,0.666,0.6568
k=5 + l=5,Regresión Logística,3141,0.6217,0.5453,-0.0156,0.4901,0.6516,0.6672
k=5 + l=5,Regresión Logística,6022,0.6217,0.5476,-0.0146,0.4963,0.6574,0.672
k=5 + l=5,Regresión Logística,8128,0.6217,0.5539,-0.0002,0.498,0.6618,0.662
